index,dateTime,calories,heart_rate,confidence,steps/min,distance/min,Voltage,Temperature
330,01/14/20 06:35:03,1.28,86,1,109,917.4917492,13.41,16.4943
331,01/14/20 06:52:03,1.28,85,1,104,760.1760176,13.41,16.4943
332,01/14/20 06:55:03,1.28,97,1,89,606.1606161,13.41,16.4943
333,01/14/20 06:56:03,1.28,78,2,0,0,13.41,16.4943
334,01/14/20 07:22:03,1.28,74,3,0,0,14.44,17.7612
335,01/14/20 07:31:03,1.28,71,2,0,0,14.44,17.7612
336,01/14/20 07:32:03,1.28,116,1,106,845.9845985,14.44,17.7612
337,01/14/20 07:48:03,1.28,87,1,10,79.20792079,14.44,17.7612
338,01/14/20 07:49:03,1.28,88,1,27,215.6215622,12.13,14.9199
339,01/14/20 07:51:03,1.28,88,1,21,167.2167217,12.13,14.9199
340,01/14/20 07:52:03,1.66,82,3,0,0,12.13,14.9199
341,01/14/20 07:57:03,3.32,79,1,0,0,12.13,14.9199
342,01/14/20 07:58:03,NaN,76,2,0,0,12.64,15.5472
343,01/14/20 07:59:03,6.9,78,3,0,0,12.64,15.5472
344,01/14/20 08:00:03,1.28,69,2,55,438.9438944,12.64,15.5472
345,01/14/20 08:08:03,1.28,73,2,15,118.8118812,12.64,15.5472
346,01/14/20 08:09:03,1.28,85,2,0,0,12.9,15.867
347,01/14/20 08:10:03,1.28,95,2,0,0,12.9,15.867
348,01/14/20 08:18:03,1.28,86,1,0,0,12.9,NaN
349,01/14/20 08:19:03,1.28,100,1,7,55.00550055,12.9,15.867
350,01/14/20 08:20:03,1.28,90,1,41,326.7326733,12.64,15.5472
351,01/14/20 08:44:03,1.28,90,1,60,478.5478548,12.64,15.5472
352,01/14/20 08:45:03,1.41,76,1,16,127.6127613,12.64,15.5472
353,01/14/20 08:46:03,1.66,82,1,0,0,12.64,15.5472
354,01/14/20 08:47:03,1.53,84,1,111,885.5885589,12.13,14.9199
355,01/14/20 09:05:03,1.53,95,0,101,806.3806381,12.13,14.9199
356,01/14/20 09:06:03,3.58,110,0,5,39.6039604,12.13,14.9199
357,01/14/20 09:07:03,1.66,92,2,44,350.9350935,12.13,14.9199
358,01/14/20 09:22:03,1.66,103,2,7,55.00550055,12.38,15.2274
359,01/14/20 09:24:03,4.86,97,1,0,0,12.38,15.2274
360,01/14/20 09:51:03,9.2,82,3,0,0,12.38,15.2274
361,01/14/20 10:08:03,8.69,84,2,0,0,12.38,15.2274
362,01/14/20 10:09:03,8.43,79,1,0,0,12.64,15.5472
363,01/14/20 10:26:03,8.18,82,1,0,0,12.64,15.5472
364,01/14/20 10:28:03,8.43,87,3,0,0,12.64,15.5472
365,01/14/20 10:35:03,8.43,89,1,0,0,12.64,15.5472
366,01/14/20 10:37:03,1.53,78,2,0,0,12.38,15.2274
367,01/14/20 10:47:03,1.53,78,1,0,0,12.38,15.2274
368,01/14/20 10:53:03,1.28,76,2,0,0,12.38,15.2274
369,01/14/20 10:55:03,1.41,74,1,0,0,12.38,15.2274
